"AARTIIND












































",NSE,Aarti Industries Ltd
"ABB












































",NSE,ABB India Ltd
"ABBOTINDIA





















",NSE,Abbott India Ltd
"ACC






















",NSE,ACC Ltd
ADANIENSOL,NSE,Adani Energy Solutions Ltd
"ADANIENT























",NSE,Adani Enterprises Ltd
ADANIGREEN,NSE,Adani Green Energy Ltd
"ADANIPORTS





















",NSE,Adani Ports and Special Economic Zone Ld
ATGL,NSE,Adani Total Gas Ltd
"ABCAPITAL






















",NSE,Aditya Birla Capital Ltd
"ABFRL






















",NSE,Aditya Birla Fashion and Retail Ltd
"ALKEM























",NSE,Alkem Laboratories Ltd
"AMBUJACEM






















",NSE,Ambuja Cements Ltd
"ANGELONE
",NSE,Angel One Ltd
APLAPOLLO,NSE,Apl Apollo Tubes Ltd
"APOLLOHOSP
























",NSE,Apollo Hospitals Enterprise Ltd
"APOLLOTYRE






















",NSE,Apollo Tyres Ltd
"ASHOKLEY






















",NSE,Ashok Leyland Ltd
"ASIANPAINT






















",NSE,Asian Paints Ltd
"ASTRAL
























",NSE,Astral Ltd
"ATUL

























",NSE,Atul Ltd
"AUBANK

























",NSE,AU Small Finance Bank Ltd
"AUROPHARMA

























",NSE,Aurobindo Pharma Ltd
DMART,NSE,Avenue Supermarts Ltd
"AXISBANK






















",NSE,Axis Bank Ltd
"BAJAJ-AUTO

























",NSE,Bajaj Auto Limited
"BAJFINANCE



























",NSE,Bajaj Finance Ltd
"BAJAJFINSV


























",NSE,Bajaj Finserv Ltd
"BALKRISIND



























",NSE,Balkrishna Industries Ltd
"BANDHANBNK




























",NSE,Bandhan Bank Ltd
"BANKBARODA






















",NSE,Bank of Baroda Ltd
BANKINDIA,NSE,Bank of India Ltd
"BATAINDIA






















",NSE,Bata India Ltd
"BERGEPAINT






















",NSE,Berger Paints India Ltd
"BEL





























",NSE,Bharat Electronics Ltd
"BHARATFORG






























",NSE,Bharat Forge Ltd
"BHEL






















",NSE,Bharat Heavy Electricals Ltd
"BPCL






















",NSE,Bharat Petroleum Corporation Ltd
"BHARTIARTL






















",NSE,Bharti Airtel Ltd
"BIOCON






















",NSE,Biocon Ltd
"BSOFT






















",NSE,Birlasoft Ltd
"BOSCHLTD






















",NSE,Bosch Ltd
"BRITANNIA






























",NSE,Britannia Industries Ltd
BSE,NSE,BSE Ltd
"CANFINHOME






























",NSE,Can Fin Homes Ltd
"CANBK






















",NSE,Canara Bank Ltd
CDSL,NSE,Central Depository Services (India) Ltd
CESC,NSE,CESC Ltd
"CGPOWER
",NSE,CG Power and Industrial Solutions Ltd
"CHAMBLFERT






























",NSE,Chambal Fertilisers and Chemicals Ltd
"CHOLAFIN






























",NSE,Cholamandalam Investment and Fin Co Ltd
"CIPLA































",NSE,Cipla Ltd
"CUB


































",NSE,City Union Bank Ltd
"COALINDIA
































",NSE,Coal India Ltd
"COFORGE
































",NSE,Coforge Ltd
"COLPAL






















",NSE,Colgate-Palmolive (India) Ltd
CAMS,NSE,Computer Age Management Services Ltd
"CONCOR

































",NSE,Container Corporation of India Ltd
"COROMANDEL

































",NSE,Coromandel International Ltd
"CROMPTON

































",NSE,Crompton Greaves Consumer Electricls Ltd
"CUMMINSIND






















",NSE,Cummins India Ltd
CYIENT,NSE,Cyient Ltd
"DABUR






















",NSE,Dabur India Ltd
"DALBHARAT


































",NSE,Dalmia Bharat Ltd
"DEEPAKNTR



































",NSE,Deepak Nitrite Ltd
DELHIVERY,NSE,Delhivery
"DIVISLAB



































",NSE,Divi's Laboratories Ltd
"DIXON




































",NSE,Dixon Technologies (India) Ltd
"DLF





































",NSE,DLF Ltd
"DRREDDY





































",NSE,Dr Reddy's Laboratories Ltd
"LALPATHLAB






















",NSE,Dr. Lal PathLabs Ltd
"EICHERMOT






































",NSE,Eicher Motors Ltd
"ESCORTS







































",NSE,Escorts Kubota Ltd
"EXIDEIND







































",NSE,Exide Industries Ltd
"FEDERALBNK







































",NSE,Federal Bank Ltd
NYKAA,NSE,Fsn E-Commerce Ventures Ltd
"GAIL






















",NSE,Gail (India) Ltd
"GLENMARK







































",NSE,Glenmark Pharmaceuticals Ltd
"GMRAIRPORT







































",NSE,GMR Airports Ltd
"GODREJCP








































",NSE,Godrej Consumer Products Limited
"GODREJPROP









































",NSE,Godrej Properties Ltd
"GRANULES









































",NSE,Granules India Ltd
"GRASIM









































",NSE,Grasim Industries Ltd
"GUJGASLTD









































",NSE,Gujarat Gas Ltd
"GNFC








































",NSE,Gujarat Narmada Vly Frtlzrs & Chmcl Ltd
"HAVELLS










































",NSE,Havells India Ltd
"HCLTECH











































",NSE,HCL Technologies Ltd
"HDFCAMC












































",NSE,HDFC Asset Management Company Ltd
"HDFCBANK












































",NSE,HDFC Bank Ltd
"HDFCLIFE












































",NSE,HDFC Life Insurance Company Ltd
"HEROMOTOCO












































",NSE,Hero Motocorp Ltd
HFCL,NSE,HFCL Ltd
"HINDALCO













































",NSE,Hindalco Industries Ltd
"HAL









































",NSE,Hindustan Aeronautics Ltd
"HINDCOPPER






















",NSE,Hindustan Copper Ltd.
"HINDPETRO














































",NSE,Hindustan Petroleum Corp Ltd
"HINDUNILVR






















",NSE,Hindustan Unilever Ltd
HUDCO,NSE,Housing And Urban Development Corp Ltd
"ICICIBANK






















",NSE,ICICI Bank Ltd
"ICICIGI















































",NSE,ICICI Lombard General Insurance Co Ltd
"ICICIPRULI
















































",NSE,Icici Prudential Life Insurance Comp Ltd
"IDFCFIRSTB
















































",NSE,IDFC First Bank Ltd
"INDIAMART


















































",NSE,IndiaMART InterMESH Ltd
INDIANB,NSE,Indian Bank
"IEX
















































",NSE,Indian Energy Exchange Ltd
"INDHOTEL






















",NSE,Indian Hotels Company Ltd
"IOC
























",NSE,Indian Oil Corporation Ltd
"IRCTC



















































",NSE,Indian Railway Ctrng nd Trsm Corp Ltd
IRFC,NSE,Indian Railway Finance Corp Ltd
"IGL

















































",NSE,Indraprastha Gas Limited
"INDUSTOWER



















































",NSE,Indus Towers Ltd
"INDUSINDBK


















































",NSE,Indusind Bank Ltd
"NAUKRI






























































",NSE,Info Edge (India) Ltd
"INFY



















































",NSE,Infosys Ltd
"INDIGO


















































",NSE,Interglobe Aviation Ltd
"IPCALAB



















































",NSE,IPCA Laboratories Ltd
IRB,NSE,Irb Infrastructure Developers Ltd
"ITC





















",NSE,ITC Ltd
"JKCEMENT




















































",NSE,J K Cement Ltd
JSL,NSE,Jindal Stainless Ltd
"JINDALSTEL



















































",NSE,Jindal Steel And Power Ltd
JIOFIN,NSE,Jio Financial Services Ltd
JSWENERGY,NSE,JSW Energy Ltd
"JSWSTEEL





















































",NSE,JSW Steel Ltd
"JUBLFOOD






















",NSE,Jubilant FoodWorks Ltd
KALYANKJIL,NSE,Kalyan Jewellers India Ltd
KEI,NSE,KEI Industries Ltd
"KOTAKBANK





















































",NSE,Kotak Mahindra Bank Ltd Fully Paid Ord. Shrs
KPITTECH,NSE,KPIT Technologies Ltd
"LTF





















































",NSE,L&T Finance Ltd
"LTTS






















































",NSE,L&T Technology Services Ltd
"LT





















",NSE,Larsen and Toubro Ltd
"LAURUSLABS






















































",NSE,Laurus Labs Ltd
"LICHSGFIN






















































",NSE,LIC Housing Finance Ltd
LICI,NSE,Life Insurance Corporation of India
"LTIM






















































",NSE,LTIMindtree Ltd
"LUPIN























































",NSE,Lupin Ltd
LODHA,NSE,Macrotech Developers Ltd
"MGL


























































",NSE,Mahanagar Gas Ltd
